iteracion,tiempo,promedio,mejor,peor
0,0.0024933815002441406,8723.52866,7128.686,10342.731999999996
1,0.0024559497833251953,8317.72793,7128.686,10631.947999999999
2,0.003932476043701172,7905.23154,6827.653999999999,9527.274999999996
3,0.007209062576293945,7669.3668118811875,6741.467,9217.896000000002
4,0.005527496337890625,7489.4430891089105,6596.168999999998,8796.55
5,0.0055005550384521484,7364.513862745098,6538.531999999998,8853.936
6,0.006360769271850586,7305.977596153845,6538.531999999998,8630.835999999998
7,0.008102655410766602,7375.367333333333,6024.163999999999,9752.988
8,0.00887608528137207,7318.66035576923,6024.163999999999,8821.839000000002
9,0.0066416263580322266,7214.059778846154,5980.395999999999,8847.087000000003
10,0.0067784786224365234,7172.138590476191,5968.63,9458.925
11,0.01503896713256836,7080.413066666666,5704.693,8801.061
12,0.018340587615966797,7067.7497452830185,5704.693,9032.336999999998
13,0.03436732292175293,6908.485698113207,5704.693,10571.558999999997
14,0.016701698303222656,6966.389283018868,5704.693,9597.144999999999
15,0.018569231033325195,6781.732224299066,5688.348000000001,8715.543999999998
16,0.013962030410766602,6872.095641509434,5688.348000000001,9603.596999999998
17,0.008638620376586914,6705.270828571429,5688.348000000001,8962.944
18,0.006827592849731445,6663.124698113207,5606.336,9800.645000000002
19,0.009416818618774414,6509.764047619047,5606.336,8984.929
20,0.013958454132080078,6382.770295238096,5593.971999999999,8422.694000000001
21,0.020416736602783203,6407.467114285714,5593.971999999999,8558.415
22,0.012918710708618164,6390.488481132075,5396.715000000001,8437.384999999998
23,0.01685500144958496,6298.260933962264,5274.138,8804.735999999999
24,0.028626203536987305,6007.818135922331,5274.138,8754.244999999999
25,0.13468217849731445,5917.407490384616,5274.138,8071.1190000000015
26,0.6672000885009766,5873.38689423077,5274.138,8141.159
27,1.3356578350067139,5877.181943396227,5270.72,8229.732000000002
28,0.6502585411071777,5833.221925233645,5270.72,7812.5689999999995
29,0.09460186958312988,5883.150981308411,5270.72,8909.237000000001
30,0.05459952354431152,5910.719407407408,5270.72,8700.149
31,0.09651660919189453,5847.1918796296295,5270.72,8350.11
32,0.11050629615783691,5880.134240740741,5270.72,8392.397000000003
33,0.0932455062866211,5824.083675925926,5270.72,8300.804
34,0.3452913761138916,5779.907833333333,5270.72,7668.241999999998
35,0.9205060005187988,5786.2485,5270.72,7720.506
36,0.31687307357788086,5837.85675,5270.72,8181.156000000001
37,0.315948486328125,5907.384917431193,5270.72,8085.939999999999
38,0.13307833671569824,5954.554293577982,5270.72,8803.97
39,0.057535409927368164,5884.76623853211,5270.72,8609.456
40,0.08611798286437988,5870.789082568807,5270.72,7908.725000000001
41,0.04707932472229004,5847.750155963303,5270.72,8664.733000000002
42,0.07921528816223145,5835.35219266055,5270.72,7776.028000000001
43,0.09134531021118164,5909.03990825688,5270.72,8558.139
44,0.07178497314453125,5883.69904587156,5270.72,8226.027000000002
45,0.04242420196533203,5772.879853211009,5270.72,7983.178
46,0.04419827461242676,5836.137844036697,5270.72,8573.657000000001
47,0.04660177230834961,5926.931220183486,5270.72,8780.27
48,0.04971909523010254,5778.104110091743,5270.72,8078.741999999999
49,0.1080625057220459,5859.899201834863,5270.72,8027.111000000002
50,0.05411171913146973,5820.9045137614685,5270.72,9131.128
51,0.03935718536376953,5872.173357798166,5270.72,8780.999000000002
52,0.024024248123168945,5802.261275229358,5270.72,8274.802000000001
53,0.02250504493713379,5933.0053944954125,5270.72,8278.172000000002
54,0.020481348037719727,5883.510495412844,5270.72,8322.652
55,0.031586647033691406,5799.90895412844,5270.72,7755.051000000001
56,0.07677078247070312,5886.294422018349,5270.72,8598.924999999997
57,0.08263802528381348,5812.716706422018,5270.72,9218.688
58,0.05078625679016113,5968.257064220184,5270.72,9051.628999999999
59,0.04684257507324219,5878.752110091743,5270.72,8570.937
60,0.047035932540893555,5886.435027522936,5270.72,9066.749000000002
61,0.03518819808959961,5870.571779816514,5270.72,8470.37
62,0.028728008270263672,5892.587422018349,5270.72,8651.393000000002
63,0.02897191047668457,5828.831724770643,5270.72,8475.697000000002
64,0.03405189514160156,5860.145981651376,5270.72,8224.229000000003
65,0.01883220672607422,5878.939733944954,5270.72,9051.871000000003
66,0.022057771682739258,5763.658532110092,5270.72,8152.169000000002
67,0.022893667221069336,5824.84085321101,5270.72,8516.422
68,0.019125938415527344,5857.509302752294,5270.72,8163.1089999999995
69,0.022530078887939453,5868.104348623854,5270.72,8418.473000000002
70,0.026532411575317383,5867.982229357799,5270.72,8360.552000000001
71,0.025165081024169922,5765.552972477065,5270.72,8011.372
72,0.032840728759765625,5777.164495412844,5270.72,8415.868000000002
73,0.05836296081542969,5818.0366238532115,5270.72,8273.782
74,0.024057388305664062,5835.96637614679,5270.72,8819.291
75,0.07954645156860352,5842.425110091744,5270.72,8433.003999999999
76,0.03473258018493652,5826.769348623854,5270.72,8240.165
77,0.07161617279052734,5788.2141467889915,5270.72,8898.971
78,0.045404911041259766,5774.878779816514,5270.72,9173.684
79,0.022976160049438477,5764.045440366974,5068.454,7739.5109999999995
80,0.027735471725463867,5703.480592592594,4900.97,7799.251000000001
81,0.016816139221191406,5565.227277227724,4744.094999999999,8036.594000000001
82,0.02379775047302246,5486.576106796117,4744.094999999999,8271.744
83,0.05113649368286133,5480.344932038835,4744.094999999999,8531.700000000003
84,0.08101248741149902,5543.138924528302,4744.094999999999,8684.698999999999
85,0.05485796928405762,5395.4297075471695,4744.094999999999,7607.7519999999995
86,0.12220454216003418,5403.359429906542,4744.094999999999,8634.530999999999
87,0.055443763732910156,5422.666485981308,4744.094999999999,8191.359000000003
88,0.06184244155883789,5479.530685185186,4744.094999999999,8983.854
89,0.08225274085998535,5490.314527777777,4744.094999999999,9407.686
90,0.1164693832397461,5507.45549074074,4744.094999999999,7424.484
91,0.12789416313171387,5403.027231481481,4744.094999999999,7688.241
92,0.06089329719543457,5483.328166666666,4628.739,8748.375
93,0.054721832275390625,5402.377814814815,4628.739,8312.639
94,0.03571748733520508,5250.966428571428,4495.467,8191.941999999999
95,0.03500080108642578,5187.658346153846,4495.467,8350.422
96,0.0760502815246582,5167.104371428571,4495.467,8043.496
97,0.07617306709289551,5079.256788461538,4495.467,8223.714000000002
98,0.2514951229095459,5185.492266666666,4495.467,7933.488000000001
99,0.15823602676391602,5038.564264150943,4495.467,7949.987000000003
100,0.22068381309509277,5082.487654205607,4495.467,7559.405999999997
101,0.17333674430847168,5070.8919252336445,4495.467,8382.973
102,0.41626501083374023,5118.056495327102,4495.467,8092.302
103,0.24680495262145996,5020.423523364485,4495.467,7719.897
104,0.10689711570739746,5080.276342592592,4495.467,8158.539000000002
105,0.07759785652160645,5052.989675925926,4495.467,7953.678
106,0.08454275131225586,4994.417880733945,4495.467,8144.294000000001
107,0.25527501106262207,4957.49695412844,4495.467,8180.919
108,0.21191787719726562,5021.220944954128,4495.467,8189.334
109,0.12449502944946289,5001.5303761467885,4495.467,8168.092000000002
110,0.14574551582336426,5025.427899082569,4481.636999999999,8361.866000000002
111,0.19730401039123535,4947.100268518518,4481.636999999999,7457.357000000002
112,0.11105871200561523,4958.9562056074765,4481.636999999999,7481.417
113,0.07970643043518066,4945.838700934579,4481.636999999999,8731.09
114,0.07663273811340332,5018.091252336449,4481.636999999999,8161.826999999999
115,0.12492632865905762,4901.003953271028,4481.636999999999,7864.569000000001
116,0.0860738754272461,4941.300626168225,4481.636999999999,7603.673999999998
117,0.14385032653808594,5005.31887037037,4481.636999999999,7880.409000000001
118,0.0797569751739502,4945.79937962963,4481.636999999999,7559.888
119,0.06582856178283691,4959.969027777777,4481.636999999999,7722.673000000002
120,0.07825064659118652,4972.193703703703,4481.636999999999,9344.662
121,0.03288459777832031,4954.089302752293,4481.636999999999,7900.025999999998
122,0.05305624008178711,4926.854513761467,4481.636999999999,8267.714000000002
123,0.03859734535217285,4904.151486238532,4481.636999999999,7404.993000000001
124,0.02643132209777832,4931.272045871559,4481.636999999999,8674.725999999999
125,0.1226811408996582,4948.626449541284,4481.636999999999,7873.323
126,0.1012115478515625,4916.36881651376,4481.636999999999,7486.93
127,0.07313990592956543,5030.835018348624,4481.636999999999,7868.178
128,0.10063910484313965,4973.483018348624,4481.636999999999,8728.575000000004
129,0.1395249366760254,4968.571229357798,4481.636999999999,8032.57
130,0.1269514560699463,4919.381211009173,4481.636999999999,7403.179
