Origen,Destino,Distancia
A,B,1
A,C,2
A,D,3
A,E,4
A,F,5
A,G,6
A,H,7
A,I,8
A,J,9
A,K,10
A,L,11
A,M,12
A,N,13
A,O,14
A,P,15
A,Q,16
A,R,17
A,S,18
A,T,19
A,U,20
A,V,21
A,W,22
A,X,23
A,Y,24
A,Z,25
B,A,25
B,C,1
B,D,2
B,E,3
B,F,4
B,G,5
B,H,6
B,I,7
B,J,8
B,K,9
B,L,10
B,M,11
B,N,12
B,O,13
B,P,14
B,Q,15
B,R,16
B,S,17
B,T,18
B,U,19
B,V,20
B,W,21
B,X,22
B,Y,23
B,Z,24
C,A,24
C,B,25
C,D,1
C,E,2
C,F,3
C,G,4
C,H,5
C,I,6
C,J,7
C,K,8
C,L,9
C,M,10
C,N,11
C,O,12
C,P,13
C,Q,14
C,R,15
C,S,16
C,T,17
C,U,18
C,V,19
C,W,20
C,X,21
C,Y,22
C,Z,23
D,A,23
D,B,24
D,C,25
D,E,1
D,F,2
D,G,3
D,H,4
D,I,5
D,J,6
D,K,7
D,L,8
D,M,9
D,N,10
D,O,11
D,P,12
D,Q,13
D,R,14
D,S,15
D,T,16
D,U,17
D,V,18
D,W,19
D,X,20
D,Y,21
D,Z,22
E,A,22
E,B,23
E,C,24
E,D,25
E,F,1
E,G,2
E,H,3
E,I,4
E,J,5
E,K,6
E,L,7
E,M,8
E,N,9
E,O,10
E,P,11
E,Q,12
E,R,13
E,S,14
E,T,15
E,U,16
E,V,17
E,W,18
E,X,19
E,Y,20
E,Z,21
F,A,21
F,B,22
F,C,23
F,D,24
F,E,25
F,G,1
F,H,2
F,I,3
F,J,4
F,K,5
F,L,6
F,M,7
F,N,8
F,O,9
F,P,10
F,Q,11
F,R,12
F,S,13
F,T,14
F,U,15
F,V,16
F,W,17
F,X,18
F,Y,19
F,Z,20
G,A,20
G,B,21
G,C,22
G,D,23
G,E,24
G,F,25
G,H,1
G,I,2
G,J,3
G,K,4
G,L,5
G,M,6
G,N,7
G,O,8
G,P,9
G,Q,10
G,R,11
G,S,12
G,T,13
G,U,14
G,V,15
G,W,16
G,X,17
G,Y,18
G,Z,19
H,A,19
H,B,20
H,C,21
H,D,22
H,E,23
H,F,24
H,G,25
H,I,1
H,J,2
H,K,3
H,L,4
H,M,5
H,N,6
H,O,7
H,P,8
H,Q,9
H,R,10
H,S,11
H,T,12
H,U,13
H,V,14
H,W,15
H,X,16
H,Y,17
H,Z,18
I,A,18
I,B,19
I,C,20
I,D,21
I,E,22
I,F,23
I,G,24
I,H,25
I,J,1
I,K,2
I,L,3
I,M,4
I,N,5
I,O,6
I,P,7
I,Q,8
I,R,9
I,S,10
I,T,11
I,U,12
I,V,13
I,W,14
I,X,15
I,Y,16
I,Z,17
J,A,17
J,B,18
J,C,19
J,D,20
J,E,21
J,F,22
J,G,23
J,H,24
J,I,25
J,K,1
J,L,2
J,M,3
J,N,4
J,O,5
J,P,6
J,Q,7
J,R,8
J,S,9
J,T,10
J,U,11
J,V,12
J,W,13
J,X,14
J,Y,15
J,Z,16
K,A,16
K,B,17
K,C,18
K,D,19
K,E,20
K,F,21
