clave_entidad,entidad,clave_municipio,municipio,latitud,longitud
05,Coahuila de Zaragoza,001,Abasolo,27.1819,-101.4264
05,Coahuila de Zaragoza,002,Acuña,29.3300,-100.9783
05,Coahuila de Zaragoza,003,Allende,28.3472,-100.8542
05,Coahuila de Zaragoza,004,Arteaga,25.4506,-100.8497
05,Coahuila de Zaragoza,005,Candela,26.8403,-100.6636
05,Coahuila de Zaragoza,006,Castaños,26.7853,-101.4306
05,Coahuila de Zaragoza,007,Cuatro Ciénegas,26.9869,-102.0672
05,Coahuila de Zaragoza,008,Escobedo,27.2347,-101.4125
05,Coahuila de Zaragoza,009,Francisco I. Madero,25.7750,-103.2731
05,Coahuila de Zaragoza,010,Frontera,26.9261,-101.4494
05,Coahuila de Zaragoza,011,General Cepeda,25.3744,-101.4792
05,Coahuila de Zaragoza,012,Guerrero,28.3083,-100.3786
05,Coahuila de Zaragoza,013,Hidalgo,27.7917,-99.8761
05,Coahuila de Zaragoza,014,Jiménez,29.0703,-100.6742
05,Coahuila de Zaragoza,015,Juárez,27.6397,-100.7272
05,Coahuila de Zaragoza,016,Lamadrid,27.0486,-101.7936
05,Coahuila de Zaragoza,017,Matamoros,25.5281,-103.2325
05,Coahuila de Zaragoza,018,Monclova,26.9011,-101.4206
05,Coahuila de Zaragoza,019,Morelos,28.4100,-100.8867
05,Coahuila de Zaragoza,020,Múzquiz,27.8775,-101.5164
05,Coahuila de Zaragoza,021,Nadadores,27.0319,-101.5919
05,Coahuila de Zaragoza,022,Nava,28.4219,-100.7628
05,Coahuila de Zaragoza,023,Ocampo,27.3111,-102.3975
05,Coahuila de Zaragoza,024,Parras,25.4375,-102.1864
05,Coahuila de Zaragoza,025,Piedras Negras,28.7081,-100.5283
05,Coahuila de Zaragoza,026,Progreso,27.4289,-100.9872
05,Coahuila de Zaragoza,027,Ramos Arizpe,25.5433,-100.9508
05,Coahuila de Zaragoza,028,Sabinas,27.8544,-101.1200
05,Coahuila de Zaragoza,029,Sacramento,27.0044,-101.7250
05,Coahuila de Zaragoza,030,Saltillo,25.4217,-100.9997
05,Coahuila de Zaragoza,031,San Buenaventura,27.0603,-101.5500
05,Coahuila de Zaragoza,032,San Juan de Sabinas,27.9339,-101.2169
05,Coahuila de Zaragoza,033,San Pedro,25.7578,-102.9831
05,Coahuila de Zaragoza,034,Sierra Mojada,27.2869,-103.7014
05,Coahuila de Zaragoza,035,Torreón,25.5417,-103.4531
05,Coahuila de Zaragoza,036,Viesca,25.3436,-102.8064
05,Coahuila de Zaragoza,037,Villa Unión,28.2206,-100.7253
05,Coahuila de Zaragoza,038,Zaragoza,28.4869,-100.9175
